Omega,Rarea,Ra,Rz,Ra_pdz,Rz_pdz,CGrits,FnSteady,FtSteady,MaxStress,MeanStress,Cutting,Plughing,Rubbing,Inactive,Cutting/%,Plughing/%,Rubbing/%,Inactive/%
3,0.2,0.0145601835552801,0.736097107895677,3.82930312133431,33.8590098647776,999.333333333333,22.4956678181528,10.3067818345937,17.7433870411243,2.03061905734847,1042.33333333333,1208,81.3333333333333,1555.66666666667,0.268129321666784,0.310767826288312,0.020924813860553,0.400178038517684
5,0.2,0.00906176377244271,0.351086619469449,3.79290229331379,35.8805297906134,999.333333333333,20.3116713771929,9.04067771431479,18.8365739906048,2.14385664247801,892.666666666667,1385,95.6666666666667,1499,0.230539990950435,0.357649982016324,0.0247051181541463,0.387104908879094
7,0.2,0.00867042852658535,0.342020538662237,3.8888524595383,36.261644490953,1000,19.4158230764977,8.55111840321773,19.0208865808794,2.16893309584728,831.666666666667,1440.33333333333,90.3333333333333,1518,0.21432768513188,0.371191459631721,0.0232786165502341,0.391202239019499
9,0.2,0.00825723549489707,0.408192279227253,3.82831973993524,35.6805093574742,999.666666666667,19.0818360111666,8.38130389056738,19.0441171267279,2.17126556464642,804.666666666667,1469,96.6666666666667,1503.66666666667,0.207703074491875,0.379207287848303,0.0249472164895692,0.388142421170252
15,0.2,0.00763165244968167,0.278044944019901,3.88936024381779,36.5461292875934,1000,19.1237626304837,8.36650483034695,19.0738642310998,2.1798035713352,779.333333333333,1498,94,1513.66666666667,0.200604928926203,0.385575471393159,0.0241978766812057,0.389621722999432
25,0.2,0.00771767337049,0.243406288991516,3.91772916575662,37.4772029430809,999.666666666667,18.7488086248368,8.17496862036311,19.2803806412382,2.21097764031066,780.666666666667,1502.33333333333,86,1516,0.200953042655462,0.386692012334752,0.0221377397494368,0.390217205593683
3,0.4,0.00596198890943345,0.241997932360114,4.09153736261958,37.8821180349514,999.666666666667,23.3572692173294,10.0664111600656,19.5194870750169,2.23158655045715,628.333333333333,1598.33333333333,98.6666666666667,1564.66666666667,0.161525143824613,0.410882107810646,0.0253642580065483,0.402228490691526
5,0.4,0.00406396924881609,0.163045072920436,4.07398781339956,37.8756785061195,999.666666666667,21.2966536168669,9.0184846005116,20.2297973411625,2.30877900573129,453.666666666667,1785.66666666667,111.666666666667,1533,0.116809238387189,0.459745763311856,0.028750552104187,0.394694446196769
7,0.4,0.00362801482934395,0.190100541916513,4.11755919933199,37.5821581807567,999.333333333333,20.2795362578794,8.56161986121429,20.33189783456,2.31324369208209,435.333333333333,1801.66666666667,114.333333333333,1532.33333333333,0.112076955495917,0.463912018301852,0.0294385455405245,0.394572480328373
9,0.4,0.0033783082926623,0.167246264929307,4.08829966789312,38.2250568307187,999,19.9631970165238,8.39457772607539,20.4390293364837,2.3272041754467,408,1828,119.666666666667,1526.33333333333,0.105098659015129,0.470895270911832,0.0308308222356147,0.393175247837425
